id	name	MESH	def
MONDO:0000902	agenesis of the corpus callosum with peripheral neuropathy	MESH:C536446	"""Corpus callosum agenesis-neuropathy is a neurodegenerative disorder characterized by severe progressive sensorimotor neuropathy beginning in infancy with resulting hypotonia, areflexia, amyotrophy and variable degrees of dysgenesis of the corpus callosum. Additional features include mild-to-severe intellectual and developmental delays, and psychiatric manifestations that include paranoid delusions, depression, hallucinations, and \""autistic-like\"" features. Affected individuals are usually wheelchair restricted in the second decade of life and die in the third decade of life. The disease is inherited as an autosomal recessive trait."" [Orphanet:1496]"
MONDO:0000903	myoclonus-dystonia syndrome	MESH:C536096	"""Myoclonus-dystonia syndrome (MDS) is a rare movement disorder characterized by mild to moderate dystonia along with 'lightning-like' myoclonic jerks."" [Orphanet:36899]"
MONDO:0000910	retinitis pigmentosa 6	MESH:C564065	"""A retinitis pigmentosa that has material basis in variation in the chromosome region Xp21.3-p21.2."" [DOID:0110413, PMID:2300556]"
MONDO:0000912	autosomal recessive nonsyndromic hearing loss 5	MESH:C563444	"""An autosomal recessive nonsyndromic deafness that has material basis in variation in the chromosome region 14q12."" [DOID:0110507, PMID:8944017]"
MONDO:0000914	cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1	MESH:D046589	"""A CADASIL characterized by migraine, strokes, and white matter lesions that has material basis in heterozygous mutation in the NOTCH3 gene on chromosome 19p13."" [DOID:0111035, PMID:10476042, PMID:8878478]"
MONDO:0000918	endometritis	MESH:D004716	"""An acute or chronic, usually bacterial infectious process affecting the endometrium. It may extend to the myometrium and parametrial tissues. Symptoms include lower abdominal pain, vaginal discharge, and vaginal bleeding."" [NCIT:P378]"
MONDO:0000920	duodenum cancer	MESH:D004379	"""A primary or metastatic malignant neoplasm that affects the duodenum. Representative examples include carcinoma, lymphoma, and sarcoma."" [NCIT:C9328]"
MONDO:0000922	pelvic inflammatory disease	MESH:D000292	"""Pelvic inflammatory disease (PID) is an acute or chronic inflammation in the pelvic cavity. It is most commonly caused by sexually transmitted diseases, including chlamydia and gonorrhea that have ascended into the uterus, fallopian tubes, or ovaries as a result of intercourse or childbirth, or of surgical procedures, including insertion of IUDs or abortion. PID may be either symptomatic or asymptomatic. It may cause infertility and it may raise the risk of ectopic pregnancy. PID is a disease associated with HIV infection."" [NCIT:C3889]"
MONDO:0000925	hyperlucent lung	MESH:D019568	"""A lung with reduced markings on its chest radiograph and increased areas of transradiancy (hyperlucency). A hyperlucent lung is usually associated with pulmonary emphysema or pneumothorax."" [MESH:D019568]"
MONDO:0000936	syphilitic meningitis	MESH:C536775	"""An infectious meningitis caused by infection with Treponema."" [MONDO:patterns/specific_infectious_disease_by_agent]"
